"","x"
"1","LINESTRING(0.243751 51.454472,0.267148 51.47858)"
"2","LINESTRING(-1.818722 52.551636,-1.818636 52.551678,-1.818622 52.551666,-1.818011 52.551971,-1.817907 52.551994,-1.817765 52.551991,-1.817583 52.551975,-1.817347 52.551956,-1.817247 52.551991)"
"3","LINESTRING(-1.826748 52.555798,-1.826456 52.555653,-1.826152 52.555515,-1.825647 52.555271,-1.825409 52.555187,-1.825172 52.555107,-1.824915 52.555035,-1.824472 52.554863,-1.82406 52.554672,-1.8238 52.554592,-1.823553 52.554531,-1.823289 52.554485,-1.823137 52.554462,-1.822558 52.554386,-1.82219 52.554325,-1.821944 52.554264,-1.821667 52.55415,-1.821547 52.554089,-1.821432 52.55402,-1.821211 52.55389,-1.82083 52.553661,-1.820619 52.553532,-1.820533 52.553471,-1.820449 52.553402,-1.820251 52.553234,-1.820055 52.553066,-1.819872 52.552902,-1.819702 52.552742,-1.819628 52.552647,-1.819556 52.552547,-1.819385 52.552292,-1.819307 52.552193,-1.819217 52.552063,-1.819109 52.551933,-1.818947 52.551792,-1.818722 52.551636,-1.818358 52.551395,-1.817802 52.551025)"
"4","LINESTRING(-1.819307 52.552193,-1.818602 52.552418,-1.818517 52.552456,-1.816061 52.553864,-1.81564 52.554123)"
"5","LINESTRING(-1.824915 52.555035,-1.823085 52.556282,-1.821877 52.557083)"
"6","LINESTRING(-1.821211 52.55389,-1.820557 52.554325)"
"7","LINESTRING(-1.820055 52.553066,-1.81945 52.553333)"
"8","LINESTRING(-1.823137 52.554462,-1.821771 52.555408,-1.821723 52.555443,-1.821091 52.555878,-1.820964 52.555962,-1.820446 52.556332)"
"9","LINESTRING(-1.816704 52.550297,-1.816746 52.55027,-1.816853 52.550217,-1.816993 52.550163,-1.817046 52.550152,-1.817106 52.550144,-1.817251 52.550148,-1.817561 52.550194,-1.817667 52.550186,-1.817723 52.55019)"
"10","LINESTRING(-1.814294 52.550106,-1.813662 52.549019,-1.813563 52.549011,-1.813493 52.549004)"
